Keyword,Currency,Avg. monthly searches,Cambio en los últimos tres meses,Cambio interanual,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023
100 razas de perros,COP,500,0%,900%,Bajo,1,223.09,701.77,,,,,,,,,,,,,,,,,
25 razas de perros,COP,500,0%,0%,Bajo,2,245.48,418.37,,,,,,,,,,,,,,,,,
afgano perro,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
akita blanco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
akita japones,COP,5000,0%,0%,Bajo,1,330.32,1707.89,,,,,,,,,,,,,,,,,
alimentos chatarra,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
alimentos no saludables,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
alimentos prohibidos para perra embarazada,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
alimentos saludables y no saludables,COP,500,-90%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
american bully cachorro,COP,500,0%,0%,Bajo,1,213.45,682.11,,,,,,,,,,,,,,,,,
américan bully,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
asado aleman,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
asado de carne,COP,500,0%,0%,Bajo,3,,,,,,,,,,,,,,,,,,,
azimelox,COP,5000,0%,0%,Bajo,2,290.25,6166.06,,,,,,,,,,,,,,,,,
beagle adulto,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
beagle americano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
beethoven perro raza,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bichon frances,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
border collie blanco,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
border collie chocolate,COP,500,0%,0%,Bajo,2,171.71,388.69,,,,,,,,,,,,,,,,,
border collie tricolor,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
boxer ingles,COP,500,0%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
boyero australiano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
boyero de appenzell,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
boyero de berna cachorro,COP,500,0%,0%,Bajo,2,184.76,482.89,,,,,,,,,,,,,,,,,
boyero suizo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bull terrier americano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bull terrier cachorro,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
bull terrier ingles precio,COP,50,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
bulldog aleman,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bulldog argentino,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bulldog cachorro,COP,500,0%,0%,Bajo,2,235.92,1043.81,,,,,,,,,,,,,,,,,
bulldog francés cachorro,COP,5000,0%,0%,Bajo,5,182.29,682.41,,,,,,,,,,,,,,,,,
bulldog ingles exotico,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
bully americano,COP,5000,0%,0%,Bajo,1,210.94,1344.04,,,,,,,,,,,,,,,,,
caniche blanco,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
caniche grande,COP,500,900%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
cara de perro,COP,5000,-90%,-90%,Bajo,3,,,,,,,,,,,,,,,,,,,
chihuahua cachorro,COP,500,0%,0%,Bajo,3,204.71,443.91,,,,,,,,,,,,,,,,,
chihuahua con pelo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
chihuahua peludos,COP,5000,0%,0%,Bajo,0,168.64,258.32,,,,,,,,,,,,,,,,,
chihuahua perro,COP,50000,0%,0%,Bajo,1,199.13,469.81,,,,,,,,,,,,,,,,,
chocolate perros,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
chow chow blanco,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
chow chow cachorro,COP,500,0%,0%,Bajo,1,181.12,370.99,,,,,,,,,,,,,,,,,
cocker español,COP,500,0%,0%,Bajo,1,167.10,400.70,,,,,,,,,,,,,,,,,
cocker ingles,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
cocker perro,COP,5000,0%,0%,Bajo,0,201.78,361.94,,,,,,,,,,,,,,,,,
coco perro,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
collie de pelo largo,COP,500,0%,0%,Bajo,1,243.50,1344.39,,,,,,,,,,,,,,,,,
collie raza,COP,500,900%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida alemana,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida boliviana,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida cantonesa,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida chatarra,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con a,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con c,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con d,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con g,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con h,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con j,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con k,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con l,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con m,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con p,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con r,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con s,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con t,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con v,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida con y,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida marroqui,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida no saludable,COP,5000,-90%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida rosa,COP,5000,-90%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida rusa,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida tradicional,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida verde,COP,500,-90%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas con a,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas con g,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas con j,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas con l,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas con m,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas con r,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas con v,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comidas tipicas,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
césar millán,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
dachshund pelo largo,COP,500,0%,0%,Bajo,4,195.93,673.58,,,,,,,,,,,,,,,,,
dalmata cachorro,COP,500,0%,0%,Bajo,6,229.27,497.41,,,,,,,,,,,,,,,,,
de perritos,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
dientes de perro,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
doberman americano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
doberman azul,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
doberman blanco,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
doberman miniatura,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
doberman pequeño,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
doberman perro,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
doberman raza,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
el almuerzo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
el encantador de perros,COP,500,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
el perro de la mascara,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
el perro de messi,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
encantador de perros,COP,500,0%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
fila brasilero,COP,5000,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
fila brasileño,COP,5000,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
fila perro,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
french mini toy,COP,500,0%,0%,Bajo,3,214.13,339.10,,,,,,,,,,,,,,,,,
french perro,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
frespuder,COP,50000,0%,0%,Bajo,0,230.04,518.85,,,,,,,,,,,,,,,,,
gato cachorro,COP,500,0%,0%,Bajo,2,104.30,350.20,,,,,,,,,,,,,,,,,
gato y perro,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
golden retriever blanco,COP,500,0%,0%,Bajo,1,167.19,328.65,,,,,,,,,,,,,,,,,
gran boyero suizo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
gran danes arlequin,COP,500,0%,0%,Bajo,1,228.33,1333.59,,,,,,,,,,,,,,,,,
gran danes cachorro,COP,500,0%,0%,Bajo,4,197.94,514.71,,,,,,,,,,,,,,,,,
hush puppies perro,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
husky siberiano blanco,COP,5000,0%,0%,Bajo,0,212.51,554.66,,,,,,,,,,,,,,,,,
husky siberiano cachorro,COP,500,0%,0%,Bajo,2,195.58,491.30,,,,,,,,,,,,,,,,,
jack russell pelo largo,COP,500,0%,900%,Bajo,3,,,,,,,,,,,,,,,,,,,
la dama y el vagabundo razas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
labrador americano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
labrador ingles,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
lassie perro,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
lassie raza,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
lobo checoslovaco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
lobo siberiano blanco,COP,5000,0%,0%,Bajo,0,276.87,541.50,,,,,,,,,,,,,,,,,
los perros mudan de dientes,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
los perros mudan dientes,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
malinois perro,COP,500,0%,0%,Bajo,1,255.45,668.74,,,,,,,,,,,,,,,,,
mi cachorro no quiere comer y solo duerme,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
mi perro,COP,500,-90%,0%,Bajo,0,775.57,2255.00,,,,,,,,,,,,,,,,,
mi perro orina sangre,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
mi perro tiembla,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
mi perro tiembla y está decaído,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
mi perro tiembla y no come,COP,500,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
mi perro tiene garrapatas y duerme conmigo,COP,50,900%,900%,Bajo,1,,,,,,,,,,,,,,,,,,,
mi perro vomita amarillo y no come,COP,50,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
mofongo dominicano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
mundo perro,COP,500,-90%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
naruto comida,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
orejas de perro,COP,500,0%,0%,Bajo,6,,,,,,,,,,,,,,,,,,,
papillón,COP,5000,0%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastelito,COP,5000,0%,0%,Bajo,5,345.50,1434.81,,,,,,,,,,,,,,,,,
pastor afgano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor aleman blanco,COP,5000,0%,0%,Bajo,0,36.95,537.03,,,,,,,,,,,,,,,,,
pastor aleman ddr,COP,500,0%,900%,Bajo,2,,,,,,,,,,,,,,,,,,,
pastor aleman malinois,COP,500,900%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor aleman pelo largo,COP,5000,0%,0%,Bajo,1,182.24,297.61,,,,,,,,,,,,,,,,,
pastor alemán de pelo largo,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor alemán hembra,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
pastor australiano cachorro,COP,500,0%,0%,Bajo,3,190.93,367.62,,,,,,,,,,,,,,,,,
pastor belga blanco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor belga malinois cachorro,COP,500,0%,0%,Bajo,2,213.48,602.43,,,,,,,,,,,,,,,,,
pastor blanco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor catalán,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor caucasico,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor caucásico,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor checo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor croata,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor de berna,COP,50,900%,900%,Bajo,1,,,,,,,,,,,,,,,,,,,
pastor de las islas shetland,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor escoces,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor garafiano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor holandés,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pastor perro,COP,5000,0%,0%,Bajo,0,245.40,1381.20,,,,,,,,,,,,,,,,,
pastor tibetano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
patas de perro,COP,5000,0%,0%,Bajo,10,,,,,,,,,,,,,,,,,,,
pequeño perro ruso,COP,500,0%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
pequines maltes,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perra,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perra en ingles,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perra en inglés,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perrhijos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perritas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perrito llorando,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perritos ladrando,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perritos lindos,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro 3d,COP,500,-90%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro akita americano,COP,500,0%,0%,Bajo,1,355.65,1623.45,,,,,,,,,,,,,,,,,
perro aleman,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro argentino,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro aullando,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro basenji,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro basset,COP,50,-90%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro basset hound,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro belga malinois,COP,500,0%,0%,Bajo,1,208.17,426.57,,,,,,,,,,,,,,,,,
perro blanco,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro blanco pequeño,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro blue,COP,500,0%,0%,Bajo,15,,,,,,,,,,,,,,,,,,,
perro boyero,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro boyero de berna,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro brasileño,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro bravo,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro cazador,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro checoslovaco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro chino,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro coco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro con cara de humano,COP,500,900%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro con lengua azul,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro con orejas largas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro dachshund,COP,500,0%,0%,Bajo,5,191.21,472.99,,,,,,,,,,,,,,,,,
perro danes,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de agua portugues,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de caza,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de coco,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de la mascara,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de la mascara raza,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de la reina isabel,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de la sirenita,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de messi raza,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de montaña de formosa,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de orejas largas,COP,5000,0%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de osos de carelia,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de pelea cordobés,COP,500,900%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de presa,COP,500,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro del grinch,COP,500,900%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro egipcio,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro en ingles,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro escoces,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro famoso,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro feo,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro fila,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro fila brasilero,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro frespuder,COP,5000,0%,0%,Bajo,0,226.87,398.41,,,,,,,,,,,,,,,,,
perro gordo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro gracioso,COP,5000,-90%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro gran danés,COP,5000,0%,0%,Bajo,0,206.84,511.56,,,,,,,,,,,,,,,,,
perro grandes,COP,50000,0%,0%,Bajo,0,245.50,1334.45,,,,,,,,,,,,,,,,,
perro humano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro husky siberiano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro ingles,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro ladrando fuerte,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro lassie,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro lobo,COP,50000,-90%,-90%,Bajo,0,220.13,1344.04,,,,,,,,,,,,,,,,,
perro mexicano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro pantera,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro pastor,COP,5000,0%,0%,Bajo,0,245.40,1381.20,,,,,,,,,,,,,,,,,
perro pastor belga malinois,COP,500,0%,0%,Bajo,1,162.02,613.96,,,,,,,,,,,,,,,,,
perro pastor ingles,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro peruano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro pitbull blue,COP,500,-90%,-90%,Bajo,1,,,,,,,,,,,,,,,,,,,
perro policía,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro raza beagle,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro raza cocker,COP,5000,0%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro raza golden,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro raza pug,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro realengo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro reina isabel,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro ruso,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro sabueso,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro terranova,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro terranova precio,COP,500,0%,0%,Bajo,4,226.70,493.14,,,,,,,,,,,,,,,,,
perro tibetano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro turco,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro vomita espuma blanca,COP,500,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
perro westy,COP,500,0%,0%,Bajo,4,198.97,305.11,,,,,,,,,,,,,,,,,
perros agresivos,COP,500,0%,0%,Bajo,0,245.48,491.53,,,,,,,,,,,,,,,,,
perros arrugados,COP,5000,0%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros blancos peludos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros caros,COP,500,0%,0%,Bajo,1,204.88,1360.11,,,,,,,,,,,,,,,,,
perros cazadores,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros chatos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros con pelo largo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros de caza razas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros de la reina isabel raza,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros de nieve,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros de pelea,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros de pelo largo,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros de raza china,COP,500,0%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros fila,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros gigantes,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros grandes peludos,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros hermosos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros hipoalergenicos,COP,500,0%,0%,Bajo,21,,,,,,,,,,,,,,,,,,,
perros husky bebes,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros malinois,COP,500,0%,0%,Bajo,1,255.45,668.74,,,,,,,,,,,,,,,,,
perros pegados,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros peligrosos,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros peligrosos razas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perros pequines,COP,5000,0%,0%,Bajo,0,242.36,368.43,,,,,,,,,,,,,,,,,
perros pitbull bebes,COP,5000,0%,0%,Bajo,0,220.37,292.50,,,,,,,,,,,,,,,,,
perros pug bebes,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perros raros,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pincher chihuahua,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull american terrier,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull argentino,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull azul,COP,500,-90%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull blanco,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull cachorro,COP,5000,0%,0%,Bajo,0,161.65,483.21,,,,,,,,,,,,,,,,,
pitbull grande,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull hembra,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull ingles,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull mexicano,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull pequeño,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull razas,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull terrier americano,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull terrier ingles,COP,5000,900%,900%,Bajo,0,,,,,,,,,,,,,,,,,,,
pitbull tricolor,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
pizza turca,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pomerania raza,COP,5000,0%,0%,Bajo,1,229.58,353.77,,,,,,,,,,,,,,,,,
